mean FL mm,lower 95% CI FL mm,upper 95% CI FL mm,mean mass g,lower 95% CI mass g,upper 95% CI mass g,date,CF - do they seem chunky?
111.346163,102.518934,122.470912,16.0064911,12.0115639,21.0509537,5/6/25,1.159498978
112.524936,103.648449,123.748959,16.5687379,12.4381737,21.7327439,5/7/25,1.162901964
113.741201,104.790409,125.103491,17.1495844,12.8743316,22.4366156,5/9/25,1.165467509
114.964798,105.94495,126.478586,17.7388646,13.3257839,23.163284,5/10/25,1.167430881
116.22955,107.112212,127.871387,18.3500559,13.7930668,23.9163484,5/12/25,1.16865877
117.529026,108.297802,129.212835,18.9636099,14.2976847,24.7194732,5/13/25,1.168115003
118.771662,109.511076,130.534654,19.597554,14.8209783,25.5496551,5/15/25,1.169670047
120.047577,110.736405,131.845242,20.2676736,15.3420609,26.4099534,5/16/25,1.171503809
121.323731,111.973122,133.132507,20.9533873,15.8802129,27.2992192,5/18/25,1.173321336
122.663758,113.199874,134.432767,21.6638995,16.4536629,28.2184281,5/19/25,1.173783052
123.949538,114.432687,135.747302,22.4209219,17.0395789,29.1528571,5/21/25,1.177385624
125.27187,115.676901,137.07469,23.1930892,17.6433819,30.1078243,5/22/25,1.179771545
126.622331,116.933137,138.429321,23.9864593,18.2624166,31.0940737,5/24/25,1.181504099
127.983508,118.204515,139.828853,24.7967607,18.8932349,32.1126298,5/26/25,1.182858843
129.302707,119.504798,141.242947,25.6775753,19.5448382,33.1935484,5/27/25,1.187766741
130.722262,120.819385,142.673749,26.560668,20.2189143,34.3112057,5/29/25,1.189023206
132.081262,122.130244,144.119045,27.4743678,20.9082985,35.4664955,5/31/25,1.192350885
133.486188,123.407055,145.578983,28.4392524,21.6403353,36.6621621,6/1/25,1.195664081
134.954804,124.697215,147.053709,29.4248687,22.396234,37.8999947,6/3/25,1.197152529
136.446253,126.01758,148.545877,30.4578269,23.176506,39.157071,6/5/25,1.198985891
137.859645,127.393464,150.135258,31.536822,24.0071117,40.4048868,6/7/25,1.203667292
139.357999,128.765277,151.763098,32.627411,24.8678043,41.6927629,6/9/25,1.205554666
140.892911,130.089611,153.445092,33.7615826,25.7349881,43.1080243,6/10/25,1.207133687
142.390458,131.426333,155.177679,34.9483503,26.630062,44.5764946,6/12/25,1.210553588
143.880656,132.852888,156.81562,36.1105802,27.5562669,46.0938948,6/14/25,1.212347828
145.382229,134.305375,158.472652,37.3408782,28.5146856,47.603569,6/16/25,1.215207827
146.920493,135.771428,160.147194,38.5966667,29.5064385,49.2040098,6/18/25,1.217033881
148.418281,137.201266,161.813276,39.9611123,30.5313939,50.8582579,6/20/25,1.222293146
149.957259,138.671333,163.506585,41.3346237,31.5911197,52.5689815,6/22/25,1.225777111
151.508195,140.226949,165.217613,42.7921975,32.6762654,54.3422874,6/24/25,1.230428031
153.030943,141.709177,166.956449,44.3115663,33.784503,56.1754122,6/26/25,1.236457913
154.586032,143.237186,168.714249,45.7586594,34.9303273,58.0703736,6/28/25,1.238689749
156.221854,144.779557,170.490556,47.3239522,36.115013,60.0580311,6/30/25,1.241239662
157.831339,146.338536,172.185187,48.9574352,37.3398781,62.0827157,7/2/25,1.245199492
159.505011,147.914302,173.875105,50.618122,38.5867857,64.1756567,7/4/25,1.247334786
161.221937,149.539814,175.656357,52.3654795,39.8339556,66.3391553,7/6/25,1.249604788
162.918845,151.149657,177.461172,54.137762,41.1202331,68.5755901,7/8/25,1.251948116
164.635595,152.763872,179.284531,56.0272392,42.5624735,70.8620575,7/10/25,1.255532647
166.367904,154.340686,181.12942,57.955784,44.0583144,73.2321237,7/12/25,1.258601224
168.157248,155.966148,182.999988,59.9069298,45.6063726,75.7524894,7/15/25,1.259883212
169.925621,157.60873,184.889874,61.9318244,47.1594508,78.3113151,7/17/25,1.26222645
171.803833,159.268611,186.883689,64.0554517,48.7186859,80.9810126,7/19/25,1.263157635
173.664307,160.945973,188.905275,66.2966542,50.3785257,83.7967234,7/21/25,1.265784894
175.563201,162.641,190.948729,68.5260194,52.1209746,86.7103365,7/24/25,1.266353727
177.472267,164.353879,193.013879,70.7694463,53.8880398,89.6458022,7/26/25,1.266060055
179.370929,166.084798,195.024517,73.1648727,55.7150139,92.7832416,7/28/25,1.267787452
181.26118,167.833945,197.056101,75.7328761,57.6215997,96.0431045,7/31/25,1.271657162
183.17135,169.601515,199.108848,78.332657,59.6016055,99.4037539,8/2/25,1.274589156
185.123876,171.387699,201.187074,80.9694228,61.6480128,102.879796,8/5/25,1.276244076
187.086925,173.192695,203.290325,83.7783068,63.7644519,106.497073,8/7/25,1.27938504
189.066547,175.016701,205.415563,86.5790415,65.9535504,110.25396,8/10/25,1.281057714
191.058357,176.85982,207.563019,89.586553,68.217803,114.143377,8/12/25,1.284531357
193.096103,178.72117,209.732925,92.6259935,70.5980515,118.170002,8/15/25,1.286507588
195.184385,180.60211,211.925515,95.7685544,73.0645868,122.338673,8/17/25,1.287916538
197.228049,182.502846,214.141028,99.0818068,75.6172971,126.541813,8/20/25,1.291480584
