"fish_id","exp","holding_tank","acc_tank","chamber","fish_mort_resting","fish_mort_pcrit","equipment_failure_resting","posttrial_wet_weight_g","cf","hsi","l_perc_dw","t_perc_dw"
"FV001","group1","tank_3","tank_3","ch2","Y","N","N",11.6,1.09309390807457,1.17699115044248,0.270676691729323,0.322429906542056
"FV002","group1","tank_3","tank_3","ch3","Y","N","N",11.2,1.02495865847554,1.1743119266055,0.265625,0.2265625
"FV003","group1","tank_3","tank_3","ch4","Y","N","N",11.9,0.999146946808439,1.07826086956522,0.282258064516129,0.283464566929134
"FV004","group1","tank_3","tank_3","ch5","Y","N","N",9.2,0.892942936093433,1.23076923076923,0.267857142857143,0.278145695364238
"FV005","group1","tank_3","tank_3","ch6","Y","N","N",10.4,1.0718345582135,1.47524752475248,0.295302013422819,0.3
"FV006","group1","tank_3","tank_3","ch7","Y","N","N",13.1,0.932432124635569,1.42307692307692,0.259459459459459,0.267605633802817
"FV007","group1","tank_3","tank_3","ch8","Y","N","N",16.3,1.10020357140929,1.46583850931677,0.275423728813559,0.289473684210526
"FV008","group2","tank_2","tank_1","ch1","Y","N","N",12,1.00754313963876,1.19827586206897,0.280575539568345,0.289308176100629
"FV009","group2","tank_2","tank_1","ch3","N","N","N",12.2,0.99588340980684,1.25,0.253333333333333,0.272727272727273
"FV010","group2","tank_2","tank_1","ch4","N","Y","N",12.7,0.980673019677551,1.1219512195122,0.282608695652174,0.301435406698565
"FV011","group2","tank_2","tank_1","ch5","N","N","N",9,0.927549136915528,1.28735632183908,0.258928571428572,0.269662921348315
"FV012","group2","tank_2","tank_1","ch6","N","Y","N",8.7,0.924359748064157,1.16867469879518,0.268041237113402,0.280254777070064
"FV013","group2","tank_2","tank_1","ch7","N","N","N",9.9,0.99,1.22916666666667,0.271186440677966,0.276785714285714
"FV014","group2","tank_2","tank_1","ch8","N","N","N",10.9,1.02713134465628,1.4018691588785,0.273333333333333,0.284552845528455
"FV015","group3","tank_1","tank_2","ch1","N","N","N",13.3,1.02700402848122,1.3953488372093,0.283333333333333,0.293023255813954
"FV016","group3","tank_1","tank_2","ch2","N","N","N",12,1.0667956304051,1.2991452991453,0.31578947368421,0.292792792792793
"FV017","group3","tank_1","tank_2","ch4","N","N","N",15.2,1.08190597667638,1.2027027027027,0.269662921348315,0.276276276276276
"FV018","group3","tank_1","tank_2","ch5","N","Y","N",7.8,0.909753608397726,1.27631578947368,0.268041237113402,0.32520325203252
"FV019","group3","tank_1","tank_2","ch6","N","N","N",8.8,0.964200759746372,1.02325581395349,0.340909090909091,0.304054054054054
"FV020","group3","tank_1","tank_2","ch7","N","N","N",10.3,1.03,1.16,0.28448275862069,0.290780141843972
"FV021","group3","tank_1","tank_2","ch8","N","N","N",11,1.06764916272041,1.11111111111111,0.291666666666667,0.27979274611399
"FV022","group4","tank_3","tank_3","ch1","N","N","N",12.6,1.08843537414966,1.23140495867769,0.261744966442953,0.266355140186916
"FV023","group4","tank_3","tank_3","ch2","N","N","N",10.1,1.01,1.04081632653061,0.294117647058823,0.28125
"FV024","group4","tank_3","tank_3","ch3","N","N","N",13.7,1.08755017019763,1.09022556390977,0.255172413793104,0.262376237623762
"FV025","group4","tank_3","tank_3","ch5","N","N","N",10.6,1.0288255568033,0.660194174757281,0.308823529411765,0.275862068965517
"FV026","group4","tank_3","tank_3","ch6","N","N","N",13.3,1.02700402848122,1.46153846153846,0.278947368421053,0.28448275862069
"FV027","group4","tank_3","tank_3","ch7","N","N","N",14.3,1.13518010465884,1.06474820143885,0.263513513513513,0.256281407035176
"FV028","group4","tank_3","tank_3","ch8","N","N","N",11.1,1.07735506419969,1.27102803738318,0.25,0.241573033707865
"FV029","group5","tank_2","tank_1","ch1","N","N","N",11.7,1.0707157414432,1.24347826086957,0.251748251748252,0.274509803921569
"FV030","group5","tank_2","tank_1","ch2","N","N","N",14.5,1.15105674947925,1.45390070921986,0.278048780487805,0.261194029850746
"FV031","group5","tank_2","tank_1","ch3","N","N","N",8.8,0.964200759746372,1.27906976744186,0.290909090909091,0.335294117647059
"FV032","group5","tank_2","tank_1","ch4","N","N","N",16.3,1.12967176451264,1.31446540880503,0.272727272727273,0.285714285714286
"FV033","group5","tank_2","tank_1","ch6","N","N","N",13.1,1.13162725407623,1.09375,0.264285714285714,0.236714975845411
"FV034","group5","tank_2","tank_1","ch7","N","N","N",12.7,1.00816694609562,1.32258064516129,0.274390243902439,0.309734513274336
"FV035","group5","tank_2","tank_1","ch8","N","N","N",10.3,0.970592004583456,1.34653465346535,0.257352941176471,0.255813953488372
"FV036","group6","tank_1","tank_1","ch1","N","N","N",14.8,1.08216324432541,1.22377622377622,0.342857142857143,0.309027777777778
"FV037","group6","tank_1","tank_1","ch2","N","N","N",19.7,1.16902915392553,0.885416666666667,0.311764705882353,0.25974025974026
"FV038","group6","tank_1","tank_1","ch3","N","N","N",21.9,1.17687078120038,1.05660377358491,0.285714285714286,0.266666666666667
"FV039","group6","tank_1","tank_1","ch4","Y","N","N",6.5,0.834737404454673,1.125,0.416666666666667,0.3125
"FV040","group6","tank_1","tank_1","ch5","N","N","N",12.3,1.09346552116523,0.80672268907563,0.28125,0.268774703557312
"FV041","group6","tank_1","tank_1","ch7","N","N","N",20,1.15740740740741,0.824742268041237,0.30625,0.291196388261851
"FV042","group6","tank_1","tank_1","ch8","N","N","N",14.5,1.08940646130729,0.936170212765958,0.318181818181818,0.3
"FV043","group7","tank_3","tank_2","ch1","N","N","Y",11.5,0.993413238311198,1.00900900900901,0.3125,0.217391304347826
"FV044","group7","tank_3","tank_2","ch2","Y","N","Y",18.3,1.17240354258067,0.961111111111111,0.277456647398844,0.254838709677419
"FV045","group7","tank_3","tank_2","ch3","Y","N","Y",15.7,1.14797046864249,1.16993464052288,0.273743016759776,0.26813880126183
"FV046","group7","tank_3","tank_2","ch4","Y","N","Y",13.9,1.10342681501804,1.24817518248175,0.286549707602339,0.202952029520295
"FV047","group7","tank_3","tank_2","ch5","Y","N","Y",14.8,1.08216324432541,1.0952380952381,0.304347826086956,0.287234042553192
"FV048","group7","tank_3","tank_2","ch6","N","N","Y",15.6,1.17205108940646,1.13157894736842,0.284883720930233,0.263959390862944
"FV049","group7","tank_3","tank_2","ch8","Y","N","Y",17.7,1.16380373140462,1.23699421965318,0.289719626168224,0.282857142857143
"FV050","group8","tank_2","tank_3","ch1","N","N","N",14.6,1.12738788088915,1.1063829787234,0.256410256410256,0.25297619047619
"FV051","group8","tank_2","tank_3","ch2","N","N","N",10.4,1.00941375384475,0.91,0.252747252747253,0.238532110091743
"FV052","group8","tank_2","tank_3","ch3","N","N","N",15.5,1.16453794139745,0.933333333333333,0.264285714285714,0.27027027027027
"FV053","group8","tank_2","tank_3","ch4","N","N","N",9.8,1.0099979490858,0.957446808510638,0.266666666666667,0.257281553398058
"FV054","group8","tank_2","tank_3","ch5","N","N","N",15,0.986274348647982,1.24657534246575,0.296703296703297,0.255520504731861
"FV055","group8","tank_2","tank_3","ch6","N","N","N",13.3,1.08567617626483,1.19230769230769,0.283870967741935,0.249097472924188
"FV056","group8","tank_2","tank_3","ch7","Y","N","N",11.3,1.03411007506907,1.3302752293578,0.296551724137931,0.309917355371901
"FV057","group9","tank_3","tank_1","ch2","N","N","N",18.5,1.1852166960515,1.40883977900552,0.266666666666667,0.273936170212766
"FV058","group9","tank_3","tank_1","ch3","N","N","N",24.1,1.23392,1.33898305084746,0.30379746835443,0.251282051282051
"FV059","group9","tank_3","tank_1","ch4","N","N","N",10.8,1.1474810665624,1.07619047619048,0.265486725663717,0.253807106598985
"FV060","group9","tank_3","tank_1","ch5","N","N","N",17,1.17818527587208,0.933333333333333,0.272727272727273,0.28498727735369
"FV061","group9","tank_3","tank_1","ch6","N","N","N",15.2,1.17371888969282,0.905405405405405,0.253731343283582,0.239473684210526
"FV062","group9","tank_3","tank_1","ch7","N","N","N",18.2,1.19667954302622,0.875706214689266,0.27741935483871,0.24578313253012
